Darganhalli, 354, 17.684116, 76.036410, 120.000000, 9.000000e-01, 271.195303, 27079026.249481,4,9,-1,-1,-1,-1,-1,
Darganhalli , Darganhalli,354,17.6841,76.0364,120,0.9,271.195,2.7079e+07,4,9,-1,-1,-1,-1,-1,0  ,11.0897,8.39569  
Sidheshwar , Sidheshwar Peth,304,17.6703,75.9114,110,1,247.805,2.7079e+07,3,4,5,6,-1,-1,-1,17.7908 ,0.113392,0.103226  
Katgaon , Bhavani Peth,1343,17.72,75.8984,78.9,0.9,180.135,2.70789e+07,-1,-1,-1,-1,-1,-1,-1,24.1955 ,0.0226784,0  
Rohini , IN2_1,1,17.8104,76.1094,102,0.1,229.665,2.7079e+07,9,-1,-1,-1,-1,-1,-1,25.8377  ,11.0897,8.39569  
Sidharpur , IN2_2,1,17.7431,76.0705,102,0.1,229.665,2.7079e+07,-1,-1,-1,-1,-1,-1,-1,26.3304  ,11.067,8.32687  
Navi , IN2_0,1,17.8776,76.1484,102,0.1,229.665,2.7079e+07,8,-1,-1,-1,-1,-1,-1,25.2903  ,11.067,8.36128  
Bhavani , Rohini Nagar,3322,17.6199,75.9073,98,0.5,220.785,2.7079e+07,-1,-1,-1,-1,-1,-1,-1,24.0313 ,0.226784,0.24086  
IN2_0 , Sidharpur,1221,17.6752,75.9672,97.54,0.4,219.772,2.7079e+07,-1,-1,-1,-1,-1,-1,-1,26.3304  ,2.40391,2.23656  
IN2_1 , Navi Peth,232,17.6815,75.8441,87.98,0.6,199.099,2.7079e+07,6,-1,-1,-1,-1,-1,-1,25.2903 ,11.0897,8.4301  
IN2_2 , Katgaon,200,17.9449,76.1873,102,0.1,229.665,2.7079e+07,7,-1,-1,-1,-1,-1,-1,24.9071  ,
